id,category,source_group,url,title,type,region,notes,visual_patterns,sales_patterns,czs_relevance,status
NL-0001,newspaper_landing,newshomepages_sites_csv,http://100r.org/,100Reporters,news_homepage,US,NewsHomepages source: Washington; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0020,newspaper_landing,newshomepages_sites_csv,https://abc7.com/,ABC7,news_homepage,US,NewsHomepages source: Los Angeles; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0021,newspaper_landing,newshomepages_sites_csv,https://kvia.com/,KVIA,news_homepage,US,NewsHomepages source: El Paso; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0022,newspaper_landing,newshomepages_sites_csv,https://abc7news.com/,ABC7 News,news_homepage,US,NewsHomepages source: San Francisco; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0023,newspaper_landing,newshomepages_sites_csv,https://www.abc.net.au/news/,ABC News,news_homepage,AU,NewsHomepages source: Sydney; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0024,newspaper_landing,newshomepages_sites_csv,https://www.aberdeennews.com/,Aberdeen News,news_homepage,US,NewsHomepages source: Aberdeen; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0025,newspaper_landing,newshomepages_sites_csv,https://www.bizjournals.com/albuquerque/,Albuquerque Business First,news_homepage,US,NewsHomepages source: Albuquerque; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0026,newspaper_landing,newshomepages_sites_csv,https://www.abqjournal.com/,Albuquerque Journal,news_homepage,US,NewsHomepages source: Albuquerque; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0027,newspaper_landing,newshomepages_sites_csv,https://www.adn.com/,Anchorage Daily News,news_homepage,US,NewsHomepages source: Anchorage; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0028,newspaper_landing,newshomepages_sites_csv,https://www.adnkronos.com/,Adnkronos,news_homepage,IT,NewsHomepages source: Rome; language it,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0029,newspaper_landing,newshomepages_sites_csv,https://www.aftenposten.no/,Aftenposten,news_homepage,NO,NewsHomepages source: Oslo; language no,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0030,newspaper_landing,newshomepages_sites_csv,https://aftermath.site/,Aftermath,news_homepage,US,NewsHomepages source: Albany; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0031,newspaper_landing,newshomepages_sites_csv,https://agenciabrasil.ebc.com.br/,Agência Brasil,news_homepage,BR,NewsHomepages source: Brasília; language pt,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,alta,collected
NL-0032,newspaper_landing,newshomepages_sites_csv,https://apublica.org/,Agência Pública,news_homepage,BR,NewsHomepages source: Sao Paulo; language pt,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,alta,collected
NL-0033,newspaper_landing,newshomepages_sites_csv,https://www.ainonline.com/,Aviation International News,news_homepage,US,NewsHomepages source: Midland Park; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0034,newspaper_landing,newshomepages_sites_csv,https://www.airlinereporter.com/,Airline Reporter,news_homepage,US,NewsHomepages source: Seattle; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0035,newspaper_landing,newshomepages_sites_csv,https://airwaysmag.com/,Airways,news_homepage,US,NewsHomepages source: Miami; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0036,newspaper_landing,newshomepages_sites_csv,https://www.ajc.com/,Atlanta Journal-Constitution,news_homepage,US,NewsHomepages source: Atlanta; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0037,newspaper_landing,newshomepages_sites_csv,https://www.aljazeera.com/,Al Jazeera English,news_homepage,QA,NewsHomepages source: Doha; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0038,newspaper_landing,newshomepages_sites_csv,https://www.alaskasnewssource.com/,Alaska’s News Source,news_homepage,US,NewsHomepages source: Anchorage; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0039,newspaper_landing,newshomepages_sites_csv,https://alaskapublic.org/,Alaska Public Media,news_homepage,US,NewsHomepages source: Anchorage; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0040,newspaper_landing,newshomepages_sites_csv,https://www.alamogordonews.com/,Alamogordo Daily News,news_homepage,US,NewsHomepages source: Alamogordo; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0041,newspaper_landing,newshomepages_sites_csv,https://www.albanyherald.com,Albany Herald,news_homepage,US,NewsHomepages source: Albany; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0042,newspaper_landing,newshomepages_sites_csv,https://www.dallasnews.com/espanol/al-dia/,Al Dia Dallas,news_homepage,US,NewsHomepages source: Dallas; language es,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0043,newspaper_landing,newshomepages_sites_csv,https://www.al.com/,Alabama Media Group,news_homepage,US,NewsHomepages source: Montgomery; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0044,newspaper_landing,newshomepages_sites_csv,https://www.the-review.com/,The Alliance Review,news_homepage,US,NewsHomepages source: Alliance; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0045,newspaper_landing,newshomepages_sites_csv,https://almapreta.com/,Alma Preta,news_homepage,BR,NewsHomepages source: São Paulo; language pt,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,alta,collected
NL-0046,newspaper_landing,newshomepages_sites_csv,https://www.apr.org/,Alabama Public Radio,news_homepage,US,NewsHomepages source: Tuscaloosa; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0047,newspaper_landing,newshomepages_sites_csv,https://www.alreporter.com/,Alabama Reporter,news_homepage,US,NewsHomepages source: Montgomery; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0048,newspaper_landing,newshomepages_sites_csv,https://www.alternet.org/,AlterNet,news_homepage,US,NewsHomepages source: Washington; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0049,newspaper_landing,newshomepages_sites_csv,https://amabhungane.org/,amaBhungane,news_homepage,ZA,NewsHomepages source: South Africa; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0050,newspaper_landing,newshomepages_sites_csv,https://www.amarillo.com/,Amarillo Globe-News,news_homepage,US,NewsHomepages source: Amarillo; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0051,newspaper_landing,newshomepages_sites_csv,https://www.amarujala.com/,Amar Ujala,news_homepage,IN,NewsHomepages source: New Delhi; language hi,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0052,newspaper_landing,newshomepages_sites_csv,https://aamazonia.com.br/,Agência Amazônia,news_homepage,BR,NewsHomepages source: São Paulo; language pt,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,alta,collected
NL-0053,newspaper_landing,newshomepages_sites_csv,https://americanindependent.com/,American Independent,news_homepage,US,NewsHomepages source: Washington; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0054,newspaper_landing,newshomepages_sites_csv,https://www.amestrib.com/,Ames Tribune,news_homepage,US,NewsHomepages source: Ames; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0055,newspaper_landing,newshomepages_sites_csv,https://www.anchoragepress.com/,Anchorage Press,news_homepage,US,NewsHomepages source: Anchorage; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0056,newspaper_landing,newshomepages_sites_csv,https://andscape.com/,Andscape,news_homepage,US,NewsHomepages source: Washington; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0057,newspaper_landing,newshomepages_sites_csv,https://www.annapurnapost.com/,Annapurna Post,news_homepage,NP,NewsHomepages source: Kathmandu; language ne,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0058,newspaper_landing,newshomepages_sites_csv,https://apnews.com/,Associated Press,news_homepage,US,NewsHomepages source: New York City; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0059,newspaper_landing,newshomepages_sites_csv,https://www.apmreports.org/,APM Reports,news_homepage,US,NewsHomepages source: St. Paul; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0060,newspaper_landing,newshomepages_sites_csv,https://www.100daysinappalachia.com/,100 Days in Appalachia,news_homepage,US,NewsHomepages source: Morgantown; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0061,newspaper_landing,newshomepages_sites_csv,https://www.argusleader.com/,Sioux Falls Argus Leader,news_homepage,US,NewsHomepages source: Sioux Falls; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0062,newspaper_landing,newshomepages_sites_csv,https://aristeguinoticias.com/,Aristegui Noticias,news_homepage,MX,NewsHomepages source: Mexico City; language es,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0063,newspaper_landing,newshomepages_sites_csv,https://azcir.org/,Arizona Center for Investigative Reporting,news_homepage,US,NewsHomepages source: Phoenix; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0064,newspaper_landing,newshomepages_sites_csv,https://www.arkansasonline.com/,Arkansas Democrat Gazette,news_homepage,US,NewsHomepages source: Little Rock; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0065,newspaper_landing,newshomepages_sites_csv,https://www.arkansasbusiness.com/,Arkansas Business,news_homepage,US,NewsHomepages source: Little Rock; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0066,newspaper_landing,newshomepages_sites_csv,https://arknews.org/,Arkansas Nonprofit News Network,news_homepage,US,NewsHomepages source: Little Rock; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0067,newspaper_landing,newshomepages_sites_csv,https://arktimes.com/,Arkansas Times,news_homepage,US,NewsHomepages source: Little Rock; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0068,newspaper_landing,newshomepages_sites_csv,https://arstechnica.com/,Ars Technica,news_homepage,US,NewsHomepages source: New York City; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0069,newspaper_landing,newshomepages_sites_csv,https://arthasarokar.com/,Artha Sarokar,news_homepage,NP,NewsHomepages source: Kathmandu; language ne,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0070,newspaper_landing,newshomepages_sites_csv,https://www.asahi.com/,Asahi Shimbun,news_homepage,JP,NewsHomepages source: Osaka; language ja,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0071,newspaper_landing,newshomepages_sites_csv,https://www.app.com/,Asbury Park Press,news_homepage,US,NewsHomepages source: Asbury Park; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0072,newspaper_landing,newshomepages_sites_csv,https://www.citizen-times.com/,Asheville Citizen-Times,news_homepage,US,NewsHomepages source: Asheville; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0073,newspaper_landing,newshomepages_sites_csv,https://ashland.news/,Ashland.news,news_homepage,US,NewsHomepages source: Ashland; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0074,newspaper_landing,newshomepages_sites_csv,https://www.aspendailynews.com/,Aspen Daily News,news_homepage,US,NewsHomepages source: Aspen; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0075,newspaper_landing,newshomepages_sites_csv,https://aspenjournalism.org/,Aspen Journalism,news_homepage,US,NewsHomepages source: Aspen; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0076,newspaper_landing,newshomepages_sites_csv,https://www.aspenpublicradio.org/,Aspen Public Radio,news_homepage,US,NewsHomepages source: Aspen; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0077,newspaper_landing,newshomepages_sites_csv,https://atarde.com.br/,Jornal A Tarde,news_homepage,BR,NewsHomepages source: Bahia; language pt,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,alta,collected
NL-0078,newspaper_landing,newshomepages_sites_csv,https://abovethelaw.com/,Above the Law,news_homepage,US,NewsHomepages source: New York City; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0079,newspaper_landing,newshomepages_sites_csv,https://atlantaciviccircle.org/,Atlanta Civic Circle,news_homepage,US,NewsHomepages source: Atlanta; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0080,newspaper_landing,newshomepages_sites_csv,https://www.augustachronicle.com,Augusta Chronicle,news_homepage,US,NewsHomepages source: Augusta; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0081,newspaper_landing,newshomepages_sites_csv,https://www.austinchronicle.com/,Austin Chronicle,news_homepage,US,NewsHomepages source: Austin; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0082,newspaper_landing,newshomepages_sites_csv,https://www.austinvida.com/,Austin Vida,news_homepage,US,NewsHomepages source: Austin; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0083,newspaper_landing,newshomepages_sites_csv,https://avherald.com/,Aviation Herald,news_homepage,AT,NewsHomepages source: Austria; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0084,newspaper_landing,newshomepages_sites_csv,https://www.aerotime.aero/,AeroTime Hub,news_homepage,US,NewsHomepages source: America; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0085,newspaper_landing,newshomepages_sites_csv,https://aviationweek.com/,Aviation Week,news_homepage,US,NewsHomepages source: New York City; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0086,newspaper_landing,newshomepages_sites_csv,https://avlwatchdog.org/,Asheville Watchdog,news_homepage,US,NewsHomepages source: Asheville; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0087,newspaper_landing,newshomepages_sites_csv,https://www.axios.com/,Axios,news_homepage,US,NewsHomepages source: Washington; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0088,newspaper_landing,newshomepages_sites_csv,https://www.azcentral.com/,Arizona Republic,news_homepage,US,NewsHomepages source: Phoenix; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0089,newspaper_landing,newshomepages_sites_csv,https://azdailysun.com/,Arizona Daily Sun,news_homepage,US,NewsHomepages source: Flagstaff; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0090,newspaper_landing,newshomepages_sites_csv,https://thebadgerproject.org/,Badger Project,news_homepage,US,NewsHomepages source: Madison; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0091,newspaper_landing,newshomepages_sites_csv,https://www.bakersfield.com/,Bakersfield Californian,news_homepage,US,NewsHomepages source: Bakersfield; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0092,newspaper_landing,newshomepages_sites_csv,https://baltimorebeat.com/,Baltimore Beat,news_homepage,US,NewsHomepages source: Baltimore; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0093,newspaper_landing,newshomepages_sites_csv,https://www.bizjournals.com/baltimore/,Baltimore Business Journal,news_homepage,US,NewsHomepages source: Baltimore; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0094,newspaper_landing,newshomepages_sites_csv,https://baltimorefishbowl.com/,Baltimore Fishbowl,news_homepage,US,NewsHomepages source: Baltimore; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0095,newspaper_landing,newshomepages_sites_csv,https://www.thebaltimorebanner.com/,Baltimore Banner,news_homepage,US,NewsHomepages source: Baltimore; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0096,newspaper_landing,newshomepages_sites_csv,https://www.baltimorebrew.com/,Baltimore Brew,news_homepage,US,NewsHomepages source: Baltimore; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0097,newspaper_landing,newshomepages_sites_csv,https://www.baltimoremagazine.com/,Baltimore Magazine,news_homepage,US,NewsHomepages source: Baltimore; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0098,newspaper_landing,newshomepages_sites_csv,https://www.baltimoresun.com/,The Baltimore Sun,news_homepage,US,NewsHomepages source: Baltimore; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0099,newspaper_landing,newshomepages_sites_csv,https://www.bangordailynews.com/,Bangor Daily News,news_homepage,US,NewsHomepages source: Bangor; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0100,newspaper_landing,newshomepages_sites_csv,https://www.thefp.com/,Free Press,news_homepage,US,NewsHomepages source: Los Angeles; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0101,newspaper_landing,newshomepages_sites_csv,https://www.barnstablepatriot.com/,The Barnstable Patriot,news_homepage,US,NewsHomepages source: Barnstable; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0102,newspaper_landing,newshomepages_sites_csv,https://www.examiner-enterprise.com/,Examiner-Enterprise,news_homepage,US,NewsHomepages source: Bartlesville; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0103,newspaper_landing,newshomepages_sites_csv,https://theticker.org/,Ticker,news_homepage,US,NewsHomepages source: New York City; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0104,newspaper_landing,newshomepages_sites_csv,https://baynature.org/,Bay Nature,news_homepage,US,NewsHomepages source: Berkeley; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0105,newspaper_landing,newshomepages_sites_csv,https://www.bbc.com/news,BBC,news_homepage,GB,NewsHomepages source: London; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0106,newspaper_landing,newshomepages_sites_csv,https://www.battlecreekenquirer.com/,Battle Creek Enquirer,news_homepage,US,NewsHomepages source: Battle Creek; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0107,newspaper_landing,newshomepages_sites_csv,http://www.localnewsmatters.org/,Local News Matters,news_homepage,US,NewsHomepages source: Berkeley; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0108,newspaper_landing,newshomepages_sites_csv,https://www.timesonline.com/,The Beaver County Times,news_homepage,US,NewsHomepages source: Beaver; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0109,newspaper_landing,newshomepages_sites_csv,https://www.beaconjournal.com/,Akron Beacon Journal,news_homepage,US,NewsHomepages source: Akron; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0110,newspaper_landing,newshomepages_sites_csv,http://www.beaufortgazette.com,Beaufort Gazette,news_homepage,US,NewsHomepages source: Beaufort; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0111,newspaper_landing,newshomepages_sites_csv,http://www.bnd.com,Belleville News Democrat,news_homepage,US,NewsHomepages source: Belleville; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0112,newspaper_landing,newshomepages_sites_csv,https://www.bellingcat.com/,Bellingcat,news_homepage,GB,NewsHomepages source: London; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0113,newspaper_landing,newshomepages_sites_csv,http://beltmag.com/,Belt Magazine,news_homepage,US,NewsHomepages source: Cleveland; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0114,newspaper_landing,newshomepages_sites_csv,https://www.belfasttelegraph.co.uk/,Belfast Telegraph,news_homepage,GB,NewsHomepages source: Belfast; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0115,newspaper_landing,newshomepages_sites_csv,https://berkeleyside.org/,The Berkeleyside,news_homepage,US,NewsHomepages source: Berkeley; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
NL-0116,newspaper_landing,newshomepages_sites_csv,https://www.berkshireeagle.com/,Berkshire Eagle,news_homepage,US,NewsHomepages source: Pittsfield; language en,editorial hierarchy; live news surface; source and timestamp discipline,audience trust; local authority; daily attention inventory,media,collected
